Chapter,Sector,Ministry Code,Description,2002,2001
Chapter 4: Expenditure on Capital Goods,Social Services Sector,22,Ministry of Health,681000,681000
Chapter 4: Expenditure on Capital Goods,Social Services Sector,24,Ministry of Labour and Social Affairs,72000,72000
Chapter 4: Expenditure on Capital Goods,Social Services Sector,26,General Organization for Youth & Sports,28000,28000
Chapter 4: Expenditure on Capital Goods,Economic Services Sector,34,Ministry of Commerce,17350,75145
Chapter 4: Expenditure on Capital Goods,Economic Services Sector,51,Ministry of Oil & Industry,15000,14000
Chapter 4: Expenditure on Capital Goods,Economic Services Sector,81,Ministry of Finance & National Economy,149000,149000
Chapter 4: Expenditure on Capital Goods,Economic Services Sector,82,Central Stores Directorate,3635,10713
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,45,"Ministry of Housing, Municipalities & Environment (Housing Affairs)",126000,130000
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,46,Ministry of Works & Agriculture,128000,128000
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,47,Ministry of Electricity & Water,350000,350000
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,47 60,Hidd Power & Water Station,20000,30000
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,48,Ministry of Transportation,71860,139860
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,52,Civil Aviation Affairs,83550,83550
Chapter 4: Expenditure on Capital Goods,Infrastructure Sector,83,Customs & Ports Affairs,56050,56050
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,19,Supreme Council for Oil,400,300
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,27,"Ministry of Housing, Municipalities & Environment (Environment Affairs)",10000,11645
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,28,Equestrian & Horse Racing Club,4000,4000
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,41,National Commission for the Protection of Wildlife,3800,3800
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,42,Amiri Flight,60000,60000
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,43,Mohd Bin Khalifa Al Khalifa Cardiac Center,82255,81153
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,49,Ministry of State (1),2200,2200
Chapter 4: Expenditure on Capital Goods,Miscellaneous Budget,53,Ministry of State (2),1300,1300
Chapter 5: Maintenance Expenses,Public Administration Sector,11,Prime Minister's Court,3300,3300
Chapter 5: Maintenance Expenses,Public Administration Sector,12,Ministry of Defence,12160822,11935006
Chapter 5: Maintenance Expenses,Public Administration Sector,50,National Guard,165000,165000
Chapter 5: Maintenance Expenses,Public Administration Sector,13,Ministry of Interior,3400000,3400000
Chapter 5: Maintenance Expenses,Public Administration Sector,71,Ministry of Cabinet and Information Affairs (Cabinet Affairs),14000,14000
Chapter 5: Maintenance Expenses,Public Administration Sector,72,Civil Service Bureau,129070,82070
Chapter 5: Maintenance Expenses,Public Administration Sector,73,Central Statistics Organisation,285000,285000
Chapter 5: Maintenance Expenses,Public Administration Sector,15,Ministry of Cabinet Affairs and Information (Legal Affairs Section),6000,6000
Chapter 5: Maintenance Expenses,Public Administration Sector,16,Ministry of Foreign Affairs,235600,235600
Chapter 5: Maintenance Expenses,Public Administration Sector,18,Ministry of Justice and Islamic Affairs,114350,148900
Chapter 5: Maintenance Expenses,Social Services Sector,20,Ministry of Cabinet and Information Affairs (Information Affairs),218500,218500
Chapter 5: Maintenance Expenses,Social Services Sector,21,Ministry of Education,888000,939000
Chapter 5: Maintenance Expenses,Social Services Sector,21 80,Education Development Programs,12000,0
Chapter 5: Maintenance Expenses,Social Services Sector,22,Ministry of Health,2100900,2035900
Chapter 5: Maintenance Expenses,Social Services Sector,24,Ministry of Labour and Social Affairs,155000,155000
Chapter 5: Maintenance Expenses,Social Services Sector,26,General Organization for Youth & Sports,75000,75000
Chapter 5: Maintenance Expenses,Economic Services Sector,34,Ministry of Commerce,75121,58818
Chapter 5: Maintenance Expenses,Economic Services Sector,51,Ministry of Oil & Industry,28600,28600
Chapter 5: Maintenance Expenses,Economic Services Sector,81,Ministry of Finance & National Economy,299500,299500
Chapter 5: Maintenance Expenses,Economic Services Sector,82,Central Stores Directorate,38648,42103
Chapter 5: Maintenance Expenses,Infrastructure Sector,45,"Ministry of Housing, Municipalities & Environment (Housing Affairs)",218000,218000
Chapter 5: Maintenance Expenses,Infrastructure Sector,46,Ministry of Works & Agriculture,518000,518000
Chapter 5: Maintenance Expenses,Infrastructure Sector,47,Ministry of Electricity & Water,1339000,1326000
Chapter 5: Maintenance Expenses,Infrastructure Sector,47 60,Hidd Power & Water Station,37000,37000
Chapter 5: Maintenance Expenses,Infrastructure Sector,48,Ministry of Transportation,320800,320800
Chapter 5: Maintenance Expenses,Infrastructure Sector,52,Civil Aviation Affairs,742400,732196
Chapter 5: Maintenance Expenses,Infrastructure Sector,83,Customs & Ports Affairs,1024650,1024650
Chapter 5: Maintenance Expenses,Miscellaneous Budget,19,Supreme Council for Oil,200,200
Chapter 5: Maintenance Expenses,Miscellaneous Budget,27,"Ministry of Housing, Municipalities & Environment (Environment Affairs)",40389,43000
Chapter 5: Maintenance Expenses,Miscellaneous Budget,28,Equestrian & Horse Racing Club,235000,235000
Chapter 5: Maintenance Expenses,Miscellaneous Budget,41,National Commission for the Protection of Wildlife,11700,11700
Chapter 5: Maintenance Expenses,Miscellaneous Budget,42,Amiri Flight,30000,30000
Chapter 5: Maintenance Expenses,Miscellaneous Budget,43,Mohd Bin Khalifa Al Khalifa Cardiac Center,93293,92181
Chapter 5: Maintenance Expenses,Miscellaneous Budget,49,Ministry of State (1),10000,9600
Chapter 5: Maintenance Expenses,Miscellaneous Budget,53,Ministry of State (2),7200,7200
Chapter 6: Transfer Expenses,Social Services Sector,26,General Organization for Youth & Sports,1055000,1055000
Chapter 6: Transfer Expenses,Transfer Budget,60 11,Amiri Court,8453000,8453000
Chapter 6: Transfer Expenses,Transfer Budget,60 13,Ruling Family Council,1741000,1741000
Chapter 6: Transfer Expenses,Transfer Budget,60 20,Radio & TV Corporation,9055000,9055000
Chapter 6: Transfer Expenses,Transfer Budget,60 24,Bahrain Center for Research & Study,548000,548000
Chapter 6: Transfer Expenses,Transfer Budget,60 27,Sunni Awqaf,420000,420000
Chapter 6: Transfer Expenses,Transfer Budget,60 28,Ja'afari Awqaf,420000,420000
Chapter 6: Transfer Expenses,Transfer Budget,60 30,Bahrain University,11037000,11037000
Chapter 6: Transfer Expenses,Transfer Budget,60 35,Bait al-Qura'an,76000,76000
Chapter 6: Transfer Expenses,Transfer Budget,60 37,Shura Council,1458000,1458000
Chapter 6: Transfer Expenses,Transfer Budget (Accounts Under Ministry of Finance Control),,Emergency Expenses,4500000,4500000
Chapter 6: Transfer Expenses,Transfer Budget (Accounts Under Ministry of Finance Control),,Contribution to GCC,1520000,1520000
Chapter 6: Transfer Expenses,Transfer Budget (Accounts Under Ministry of Finance Control),,Local Transfers,11371000,13352000
Chapter 6: Transfer Expenses,Transfer Budget,60 39,Districts,1932000,1932000
Chapter 6: Transfer Expenses,Transfer Budget,60 41,High Council for Islamic Affairs,1500000,1500000
Chapter 6: Transfer Expenses,Transfer Budget,60 44,Bahrain Promotions and Marketing Board,2000000,2000000
Chapter 6: Transfer Expenses,Transfer Budget,60 45,UNDP,750000,750000
Chapter 6: Transfer Expenses,Transfer Budget,60 46,High Council for Vocational Training,2500000,2500000
Chapter 7: Subsidies & Interest Payments,Public Administration Sector,12,Ministry of Defence,223164,223129
Chapter 7: Subsidies & Interest Payments,Public Administration Sector,16,Ministry of Foreign Affairs,8500,8500
Chapter 7: Subsidies & Interest Payments,Public Administration Sector,18,Ministry of Justice and Islamic Affairs,15000,15000
Chapter 7: Subsidies & Interest Payments,Social Services Sector,20,Ministry of Cabinet and Information Affairs (Information Affairs),80000,80000
Chapter 7: Subsidies & Interest Payments,Social Services Sector,21,Ministry of Education,13000,13000
Chapter 7: Subsidies & Interest Payments,Social Services Sector,22,Ministry of Health,10500,10500
Chapter 7: Subsidies & Interest Payments,Social Services Sector,24,Ministry of Labour and Social Affairs,3800000,3800000
Chapter 7: Subsidies & Interest Payments,Social Services Sector,26,General Organization for Youth & Sports,1032000,1032000
Chapter 7: Subsidies & Interest Payments,Transfer Budget,60 34,Subsidies,1500000,1500000
Chapter 7: Subsidies & Interest Payments,Transfer Budget (Accounts Under Ministry of Finance Control),,Payment of Interest on Loans,56470000,55830000
Chapter 8: Project Expenditure,,,Project Expenditure,160000000,160000000
,,,Total Expenditure,835000000,823000000
