Miscellaneous Budget,Tender Board,1125000,1125000
Transfer Budget,Municipality Councils,612000,612000
Transfer Budget,Constitutional Court,2291000,2362000
Transfer Budget,Alimony Fund,250000,250000
Transfer Budget,Bahrain Chamber for Dispute Resolution,1353000,1395000
Transfer Budget,E. Government Authority,3673000,3787000
Transfer Budget,National Health Regulatory Authority,1976000,2037000
Transfer Budget,Sunni Awqaf,2700000,2700000
Transfer Budget,Ja'afari Awqaf,2700000,2700000
Transfer Budget,Bahrain Bourse,500000,500000
Transfer Budget,University of Bahrain,43823000,45178000
Transfer Budget,Teachers' College (University of Bahrain),5413000,5580000
Transfer Budget,Bahrain Polytechnic,11818000,12183000
Transfer Budget,National Authority for Quality Assurance of Education & Training,4871000,5022000
Transfer Budget,Food Subsidies,43290000,57000000
Transfer Budget,Bait Al-Qura'an,76000,76000
Transfer Budget,Shura Council,8701000,8970000
Transfer Budget,Governorates,4511000,4650000
Transfer Budget,High Council for Islamic Affairs,2962000,3054000
Transfer Budget,National Audit Court,5400000,5400000
Transfer Budget,National Institution for Human Rights,902000,930000
Transfer Budget,Isa Award for Service to Humanity,902000,930000
Transfer Budget,Isa Cultural Centre,1353000,1395000
Transfer Budget,Economic Development Board,5683000,5859000
Transfer Budget,Bahrain Exhibition & Convention Authority,677000,698000
Transfer Budget,Royal Charity Organization,4400000,4400000
Transfer Budget,Representatives Council,9792000,10095000
Transfer Budget,Bahrain Institute for Political Development,1353000,1395000
Transfer Budget,Labour Market Regulatory Authority,6585000,6789000
Transfer Budget,Social Welfare Fund,24910000,21630000
Transfer Budget,Institute of Public Administration,1804000,1860000
Transfer Budget,Bahrain International Air Show,2500000,1172000
Transfer Budget,"Bahrain Center for Strategic, International and Energy Studies",1353000,1395000
Transfer Budget,Bahrain Internet Exchange,1804000,1860000
Transfer Budget,Information High Council,271000,279000
Transfer Budget,National Authority for Space Sciences,271000,279000
Transfer Budget,National Social Fund,14700000,14700000
Transfer Budget (Accounts under MOF Control),Government Debt Interest,390000000,296000000
Transfer Budget (Accounts under MOF Control),Contribution to GCC,8500000,8500000
Transfer Budget (Accounts under MOF Control),Government Grants,2706000,2790000
Transfer Budget (Accounts under MOF Control),Government Share in Pension Fund,800000,800000
Transfer Budget (Accounts under MOF Control),Contribution to United Nations,2650000,2650000
Transfer Budget (Accounts under MOF Control),Miscellaneous Commitments,4100000,4100000
Transfer Budget (Accounts under MOF Control),Future Generation Reserve Council,361000,372000
Transfer Budget (Accounts under MOF Control),Obligations and Subsidies for Retirement Systems,16500000,16500000
Transfer Budget (Accounts under MOF Control),Improve the Standard of Living for Retirees,73500000,125000000
Transfer Budget (Accounts under MOF Control),Other Estimations for Line Ministries & Government Agencies,97572000,18522000
Transfer Budget (Accounts under MOF Control),Reduce Cost of Living for Families,80500000,115000000
Transfer Budget (Accounts under MOF Control),Risk Financing,541000,558000
Transfer Budget (Accounts under MOF Control),Early Retirement Scheme,2706000,2790000
Transfer Budget (Accounts under MOF Control),The Government's Share in Unemployment Insurance,17000000,17000000
Transfer Budget (Accounts under MOF Control),Housing Programme Support (Rent Allowance),30800000,44000000
Transfer Budget (Accounts under MOF Control),Housing Programme Support (Housing Loans Reduction),4000000,4000000
,Total,3123835000,3064647000
,Reserve Account,93715000,91939000
,Grand Total,3217550000,3156586000
